Year,Rating,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Adjusted_Total,discrete
1977,8.6,121,1,322.74,6,3.7,267.61,532.5010312113296,1
1965,8.1,172,1,163.21,1,5.1,82.96333333333332,517.9899497487438,1
1967,7.6,78,1,141.84,0,2.2,89.76,425.20109917561825,1
1997,7.9,194,4,659.33,5,5.5,278.42571428571426,410.7548541169142,1
2015,7.8,138,1,936.66,6,3.8,366.5666666666666,395.18684313783393,1
1973,8.3,129,1,159.6,2,10.4,79.90499999999999,359.45945945945937,1
1965,7.9,197,16,111.72,5,5.53,78.27,354.5728643216081,1
2009,7.8,162,4,760.51,6,3.7,278.42571428571426,354.48896926870424,1
1980,8.7,124,4,290.48,6,3.7,130.55333333333334,352.48862372332906,1
1964,7.8,139,1,102.27,2,7.1,102.27,329.7259537882859,1
1972,9.2,175,16,134.97,10,5.0,54.845454545454544,322.7660422479075,1
1967,8.0,106,16,104.95,2,5.7,62.83888888888888,314.61403947039713,1
1983,8.3,131,1,309.13,6,3.7,309.13,310.3714859437751,1
2021,8.3,148,4,804.75,6,3.7,382.40250000000003,296.98887052890586,1
1978,7.2,110,16,188.76,2,0.51,81.20749999999998,289.36126724578435,1
1999,6.5,136,4,474.54,6,3.7,267.61,284.880684376407,1
1969,8.0,110,1,102.31,1,10.4,79.90499999999999,278.9004997728305,1
2018,7.3,134,4,700.06,6,3.8,275.31,278.7897050458602,1
1993,8.2,127,4,402.45,6,3.8,138.73962962962963,278.59244303432365,1
2015,6.9,124,4,652.27,6,3.8,220.16666666666666,275.1996692220389,1
1970,6.9,100,1,106.4,5,5.5,76.655,274.05022537025116,1
1981,8.4,115,16,248.16,6,3.0,138.73962962962963,272.9282375584273,1
2012,8.0,143,4,623.28,6,3.8,369.26666666666665,271.4706073440534,1
1975,7.4,100,4,139.88,2,8.1,139.88,259.91947971508205,1
1973,7.4,110,1,115.0,2,5.0,267.61,259.00900900900893,1
2017,6.9,152,4,620.18,6,3.7,171.522,253.01120031549226,1
2008,9.0,152,4,534.86,6,10.4,187.57454545454547,248.42256824700132,1
2018,7.6,118,4,608.58,0,3.6,239.20400000000004,242.35899593864758,1
1974,7.7,93,16,119.5,2,4.0,46.03000000000001,242.352543518675,1
1974,7.0,165,1,116.0,6,8.52,116.0,235.25435186750042,1
1964,7.8,170,1,72.0,5,0.5,72.0,232.13326168726493,1
1984,7.8,105,4,238.63,6,2.5,81.21249999999999,229.7096101395797,1
1984,7.3,105,16,234.76,6,10.3,77.55199999999999,225.98427723407667,1
