Year,Adjusted_Total,Runtime(Mins),Censor,Total_Gross,main_genre,side_genre,dir_numeric,Rating,discrete
1977,532.5010312113296,121,1,322.74,6,3.7,267.61,8.6,1
1965,517.9899497487438,172,1,163.21,1,5.1,82.96333333333332,8.1,1
1967,425.20109917561825,78,1,141.84,0,2.2,89.76,7.6,1
1997,410.7548541169142,194,4,659.33,5,5.5,278.42571428571426,7.9,1
2015,395.18684313783393,138,1,936.66,6,3.8,366.5666666666666,7.8,1
1973,359.45945945945937,129,1,159.6,2,10.4,79.90499999999999,8.3,1
1965,354.5728643216081,197,16,111.72,5,5.53,78.27,7.9,1
2009,354.48896926870424,162,4,760.51,6,3.7,278.42571428571426,7.8,1
1980,352.48862372332906,124,4,290.48,6,3.7,130.55333333333334,8.7,1
1964,329.7259537882859,139,1,102.27,2,7.1,102.27,7.8,1
1972,322.7660422479075,175,16,134.97,10,5.0,54.845454545454544,9.2,1
1967,314.61403947039713,106,16,104.95,2,5.7,62.83888888888888,8.0,1
1983,310.3714859437751,131,1,309.13,6,3.7,309.13,8.3,1
2021,296.98887052890586,148,4,804.75,6,3.7,382.40250000000003,8.3,1
1978,289.36126724578435,110,16,188.76,2,0.51,81.20749999999998,7.2,1
1999,284.880684376407,136,4,474.54,6,3.7,267.61,6.5,0
1969,278.9004997728305,110,1,102.31,1,10.4,79.90499999999999,8.0,1
2018,278.7897050458602,134,4,700.06,6,3.8,275.31,7.3,1
1993,278.59244303432365,127,4,402.45,6,3.8,138.73962962962963,8.2,1
2015,275.1996692220389,124,4,652.27,6,3.8,220.16666666666666,6.9,1
1970,274.05022537025116,100,1,106.4,5,5.5,76.655,6.9,1
1981,272.9282375584273,115,16,248.16,6,3.0,138.73962962962963,8.4,1
2012,271.4706073440534,143,4,623.28,6,3.8,369.26666666666665,8.0,1
1975,259.91947971508205,100,4,139.88,2,8.1,139.88,7.4,1
1973,259.00900900900893,110,1,115.0,2,5.0,267.61,7.4,1
2017,253.01120031549226,152,4,620.18,6,3.7,171.522,6.9,1
2008,248.42256824700132,152,4,534.86,6,10.4,187.57454545454547,9.0,1
2018,242.35899593864758,118,4,608.58,0,3.6,239.20400000000004,7.6,1
1974,242.352543518675,93,16,119.5,2,4.0,46.03000000000001,7.7,1
1974,235.25435186750042,165,1,116.0,6,8.52,116.0,7.0,1
1964,232.13326168726493,170,1,72.0,5,0.5,72.0,7.8,1
